UConn,43,12.497560,7591,537.395080,1
Tennessee,42,9.766666,5196,410.199972,2
Duke,25,9.210526,3318,230.263150,3
Rutgers University,21,10.086666,2997,211.819986,4
LSU,20,10.043750,2571,200.875000,5
Stanford,28,6.841666,2912,191.566648,6
Maryland,19,9.460000,2533,179.740000,7
Notre Dame,20,8.776470,2415,175.529400,8
Florida,18,8.800000,1766,158.400000,9
UNC,21,6.405882,2319,134.523522,10
Baylor,24,5.464705,1405,131.152920,11
USC,12,9.930000,1676,119.160000,12
Minnesota,8,14.800000,1164,118.400000,13
Georgia,24,4.910526,2336,117.852624,14
Purdue,12,9.175000,1013,110.100000,15
Auburn,7,12.825000,569,89.775000,16
Gonzaga,6,14.800000,366,88.800000,17
Georgetown,3,29.150000,700,87.450000,18
Oklahoma,14,5.671428,834,79.399992,19
Louisiana Tech,14,5.033333,848,70.466662,20
UCLA,14,4.981818,1310,69.745452,21
Old Dominion,10,6.962500,1314,69.625000,22
Louisville,16,4.336363,859,69.381808,23
NC State,16,3.953846,1062,63.261536,24
Ohio State,14,4.425000,937,61.950000,25
Florida Atlantic University,1,59.400000,311,59.400000,26
Texas Tech,8,7.300000,1119,58.400000,27
St. Edward's University,1,53.900000,440,53.900000,28
Penn State,15,3.500000,1536,52.500000,29
South Carolina,13,4.036363,991,52.472719,30
Temple,4,12.375000,611,49.500000,31
Florida State,15,3.220000,891,48.300000,32
University of Delaware,3,15.700000,239,47.100000,33
Arizona State,5,8.800000,414,44.000000,34
Iowa,14,3.136363,860,43.909082,35
George Washington,6,6.740000,349,40.440000,36
Mississippi State,8,5.000000,721,40.000000,37
Vanderbilt,13,3.042857,515,39.557141,38
Virginia,11,3.428571,633,37.714281,39
Houston,2,18.700000,460,37.400000,40
Middle Tennessee,4,9.050000,660,36.200000,41
Michigan State,8,4.480000,667,35.840000,42
Miami (FL),6,5.960000,643,35.760000,43
Texas,17,2.093333,1109,35.586661,44
DePaul,11,3.216666,489,35.383326,45
Ole Miss,4,8.750000,326,35.000000,46
Saint Joseph's,3,10.750000,404,32.250000,47
Utah,6,5.050000,484,30.300000,48
Kansas,7,4.300000,672,30.100000,49
Alabama,7,4.275000,619,29.925000,50
Wake Forest,2,14.600000,242,29.200000,51
Washington,5,5.500000,167,27.500000,52
Oregon,12,2.260000,572,27.120000,53
Texas A&M,17,1.560000,805,26.520000,54
Southeastern Oklahoma State University,1,26.400000,245,26.400000,55
Arkansas,7,3.300000,391,23.100000,56
Marquette,3,7.600000,110,22.800000,57
South Florida,4,5.650000,215,22.600000,58
Pitt,2,9.900000,420,19.800000,59
Memphis,2,9.750000,529,19.500000,60
Syracuse,5,3.833333,402,19.166665,61
Harvard University,1,18.200000,284,18.200000,62
Missouri,8,2.000000,382,16.000000,63
Michigan,7,2.100000,315,14.700000,64
California,9,1.628571,661,14.657139,65
Kansas State,8,1.742857,491,13.942856,66
Tulane,2,6.650000,304,13.300000,67
Nebraska,6,2.200000,334,13.200000,68
Mercer University,2,6.500000,84,13.000000,69
Central Florida,1,12.300000,232,12.300000,70
Boston College,5,2.325000,429,11.625000,71
Master's College,1,11.300000,218,11.300000,72
Iowa State,14,0.800000,149,11.200000,73
Southern Miss,2,5.600000,218,11.200000,73
Western Kentucky,3,3.600000,93,10.800000,75
UC Santa Barbara,6,1.725000,332,10.350000,76
BYU,4,2.566666,324,10.266664,77
Wisconsin,4,2.450000,169,9.800000,78
Arizona,10,0.840000,239,8.400000,79
