Tamika Catchings,93.7,ELITE (Q1)
Sylvia Fowles,73.5,ELITE (Q1)
Lauren Jackson,73.0,ELITE (Q1)
Diana Taurasi,71.2,ELITE (Q1)
Candace Parker,62.2,ELITE (Q1)
Sue Bird,61.6,ELITE (Q1)
Tina Thompson,60.7,ELITE (Q1)
Lindsay Whalen,59.8,ELITE (Q1)
Yolanda Griffith,59.4,ELITE (Q1)
Nneka Ogwumike,57.2,ELITE (Q1)
Taj McWilliams-Franklin,53.9,ELITE (Q1)
Maya Moore,53.5,ELITE (Q1)
DeWanna Bonner,51.7,ELITE (Q1)
Penny Taylor,49.0,ELITE (Q1)
Katie Douglas,48.9,ELITE (Q1)
Rebekkah Brunson,48.6,ELITE (Q1)
Elena Delle Donne,47.4,ELITE (Q1)
Candice Dupree,44.2,ELITE (Q1)
Tina Charles,42.2,ELITE (Q1)
Seimone Augustus,41.9,ELITE (Q1)
Brittney Griner,41.9,ELITE (Q1)
Cappie Pondexter,37.6,ELITE (Q1)
Angel McCoughtry,37.6,ELITE (Q1)
DeLisha Milton-Jones,37.4,ELITE (Q1)
Sancho Lyttle,35.7,ELITE (Q1)
Swin Cash,35.6,ELITE (Q1)
Kara Lawson,35.2,ELITE (Q1)
Breanna Stewart,35.2,ELITE (Q1)
Sophia Young-Malcolm,34.7,ELITE (Q1)
Crystal Langhorne,34.4,ELITE (Q1)
Chasity Melvin,33.9,ELITE (Q1)
Chamique Holdsclaw,33.2,ELITE (Q1)
Alana Beard,33.1,ELITE (Q1)
Tammy Sutton-Brown,32.9,ELITE (Q1)
Michelle Snow,31.5,ELITE (Q1)
Deanna Nolan,31.3,ELITE (Q1)
Jonquel Jones,31.3,ELITE (Q1)
Kristi Toliver,30.9,ELITE (Q1)
Nicole Powell,30.3,ELITE (Q1)
Epiphanny Prince,29.8,ELITE (Q1)
Courtney Vandersloot,29.7,ELITE (Q1)
Monique Currie,29.3,ELITE (Q1)
Natalie Williams,29.3,ELITE (Q1)
Emma Meesseman,29.2,ELITE (Q1)
Tiffany Hayes,28.4,ELITE (Q1)
Jia Perkins,28.3,ELITE (Q1)
Tangela Smith,27.8,ELITE (Q1)
Ticha Penicheiro,27.4,ELITE (Q1)
Margo Dydek,26.8,ELITE (Q1)
Crystal Robinson,26.4,ELITE (Q1)
Plenette Pierson,25.2,ELITE (Q1)
Skylar Diggins-Smith,24.8,ELITE (Q1)
Alyssa Thomas,23.9,ELITE (Q1)
A'ja Wilson,23.8,ELITE (Q1)
Cheryl Ford,23.6,ELITE (Q1)
Chelsea Gray,22.6,ELITE (Q1)
Tamecka Dixon,22.5,ELITE (Q1)
Camille Little,21.7,ELITE (Q1)
Jewell Loyd,21.3,ELITE (Q1)
Leilani Mitchell,21.0,ELITE (Q1)
Asjha Jones,21.0,ELITE (Q1)
Alysha Clark,20.6,ELITE (Q1)
Kayla McBride,20.6,ELITE (Q1)
Sheri Sam,20.4,ELITE (Q1)
Tamika Whitmore,20.4,ELITE (Q1)
Janel McCarville,20.3,ELITE (Q1)
Erlana Larkins,20.2,ELITE (Q1)
Shavonte Zellous,20.2,ELITE (Q1)
Ann Wauters,20.2,ELITE (Q1)
Liz Cambage,20.1,ELITE (Q1)
Tanisha Wright,19.8,ELITE (Q1)
Renee Montgomery,19.8,ELITE (Q1)
Allie Quigley,18.9,ELITE (Q1)
Natasha Howard,18.6,ELITE (Q1)
Chiney Ogwumike,18.4,ELITE (Q1)
Elizabeth Williams,18.4,ELITE (Q1)
Allison Feaster,18.2,ELITE (Q1)
Danielle Robinson,17.8,ELITE (Q1)
Dawn Staley,17.7,ELITE (Q1)
Briann January,17.5,ELITE (Q1)
Ivory Latta,17.5,ELITE (Q1)
Riquna Williams,17.3,ELITE (Q1)
Ruth Riley,17.2,ELITE (Q1)
Betty Lennox,17.1,ELITE (Q1)
Stefanie Dolson,17.0,ELITE (Q1)
Brionna Jones,16.9,ELITE (Q1)
Shameka Christon,16.2,ELITE (Q1)
Courtney Paris,15.9,ELITE (Q1)
Jantel Lavender,15.8,ELITE (Q1)
Glory Johnson,15.8,ELITE (Q1)
Allisha Gray,15.6,ELITE (Q1)
Kelly Miller,15.6,ELITE (Q1)
Nikki Teasley,15.4,ELITE (Q1)
Murriel Page,15.4,ELITE (Q1)
Karima Christmas-Kelly,15.1,ELITE (Q1)
Marie Ferdinand-Harris,14.7,ELITE (Q1)
Shekinna Stricklen,14.6,ELITE (Q1)
Dearica Hamby,14.6,ELITE (Q1)
Armintie Herrington,14.4,ELITE (Q1)
Jennifer Azzi,14.4,ELITE (Q1)
Merlakia Jones,14.3,ELITE (Q1)
Lindsey Harding,14.3,ELITE (Q1)
Ebony Hoffman,14.3,ELITE (Q1)
Sophia Witherspoon,13.9,ELITE (Q1)
Tamika Williams,13.8,ELITE (Q1)
Ariel Atkins,13.4,ELITE (Q1)
Kamila Vodichkova,13.3,ELITE (Q1)
Kedra Holland-Corn,13.1,ELITE (Q1)
